variant_id,screening_round,fraction_A,fraction_C,fraction_D,fraction_E,fraction_F,fraction_G,fraction_H,fraction_I,fraction_K,fraction_L,fraction_M,fraction_N,fraction_P,fraction_Q,fraction_R,fraction_S,fraction_T,fraction_V,fraction_W,fraction_Y,molecular_weight,isoelectric_point,gravy,mutation_count,expression,corrected_activity
WT,0,0.07142857142857144,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6637.5569,9.156912040710449,-0.4,0,0.8,0.4
R1_01,1,0.07142857142857144,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.03571428571428572,0.01785714285714286,0.05357142857142857,6651.583500000001,9.156912040710449,-0.3946428571428572,1,0.88,0.58
R1_02,1,0.07142857142857144,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6614.520199999999,9.156589698791507,-0.40535714285714286,1,0.9,0.61
R1_03,1,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.07142857142857144,0.01785714285714286,0.05357142857142857,6665.610000000001,9.156912040710449,-0.35714285714285715,1,0.86,0.5700000000000001
R1_04,1,0.07142857142857144,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6636.572099999999,9.521029472351074,-0.4,1,0.89,0.6
R1_05,1,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6679.6366,9.156912040710449,-0.3517857142857143,2,0.95,0.8200000000000001
R1_06,1,0.07142857142857144,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6613.535400000001,9.520965003967284,-0.40535714285714286,2,0.96,0.86
R1_07,1,0.07142857142857144,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.0,0.05357142857142857,6508.398300000001,9.156912040710449,-0.3910714285714286,1,0.62,0.12
R1_08,1,0.07142857142857144,0.0,0.08928571428571429,0.03571428571428572,0.05357142857142857,0.03571428571428572,0.03571428571428572,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6605.470499999999,8.075519371032716,-0.5125,1,0.55,0.18
R1_09,1,0.07142857142857144,0.0,0.07142857142857144,0.05357142857142857,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.07142857142857144,0.07142857142857144,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6638.498600000001,6.707649040222168,-0.39285714285714285,1,0.68,0.27
